Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,Batch correction,Bio conservation,Total
RAW,0.861316697391866,0.6583225911359808,0.6576465666294098,1.0,0.8942883,0.21989426016807556,0.16433084254303007,0.9718958895058462,0.5626023234212119,0.7943214637893141,0.7016338076420732
Palette miss 5%,0.8899694315551655,0.8128530246768094,0.7463201284408569,0.9999999948169874,0.88790655,0.4208916425704956,0.5290951928708306,0.9483170662684103,0.6965526132677051,0.8622856448724548,0.7959924322305549
Palette miss 10%,0.8897321301247562,0.8125546849005509,0.7476254850625992,0.9999999948169874,0.8915658,0.4210811257362366,0.5318578578794056,0.9482517375667602,0.6981891302238843,0.8624780737262234,0.7967624963252877
Palette miss 20%,0.8901332311336944,0.8137315089227453,0.7466818690299988,0.9999999948169874,0.89067477,0.4211357831954956,0.5287314194026643,0.9474809320129869,0.6970057261223835,0.8626366509758564,0.7963842810344672
SIGNAL miss 5%,0.8652869547296469,0.6583588730596892,0.7042765915393829,1.0,0.9444139,0.4341999292373657,0.5941257174440427,0.9242162001030915,0.7242389367899665,0.8069806048321797,0.7738839376152944
SIGNAL miss 10%,0.8651402978650661,0.6574388104282609,0.7039256691932678,1.0,0.9441929,0.43349403142929077,0.5955949815339479,0.9240753225977776,0.7243393054783889,0.8066261943716487,0.7737114388143448
SIGNAL miss 20%,0.8649346966881905,0.6559386212731149,0.7028915733098984,1.0,0.9435902,0.4322868585586548,0.5905313694325124,0.9234708489917681,0.7224698251930376,0.8059412228178009,0.7725526637678957
ssSTACAS miss 5%,0.8666848613349498,0.6619194664476279,0.6814920604228973,1.0,0.8995041,0.4076681137084961,0.4128209365998039,0.9513113563272885,0.667826132938461,0.8025240970513687,0.7486449114062057
ssSTACAS miss 10%,0.8665381063448613,0.6615495544615767,0.6814786940813065,1.0,0.8996792,0.40761786699295044,0.4127552880780387,0.9514623151081222,0.6678786635347681,0.8023915887219362,0.748586418647069
ssSTACAS miss 20%,0.8664604801660442,0.6614663315578706,0.6814534217119217,1.0,0.8995082,0.4075722098350525,0.41298917251666367,0.9506301351236527,0.6676749239273673,0.8023450583589591,0.7484770045863223
scANVI miss 5%,0.8307555584815245,0.5531272196689336,0.6757481098175049,1.0,0.8880954,0.39814144372940063,0.4851192788200964,0.9881929114897696,0.6898872532287498,0.7649077219919908,0.7348995344866943
scANVI miss 10%,0.8406308463383894,0.5801699579211942,0.6761385202407837,1.0,0.8806558,0.39795899391174316,0.4974419670793144,0.9876483564879509,0.6909262856542752,0.7742348311250918,0.7409114129367651
scANVI miss 20%,0.8564956019791274,0.6124330497592446,0.6782792508602142,1.0,0.88467664,0.406133234500885,0.5059698481311314,0.9869529296260243,0.6959331618808478,0.7868019756496466,0.7504544501421271
scPoli miss 5%,0.8934187642128564,0.6790848618478086,0.7725560665130615,1.0,0.94416946,0.4533001780509949,0.6817506885765722,0.9376405834459648,0.7542152279501686,0.8362649231434316,0.8034450450661264
scPoli miss 10%,0.9135590294454357,0.7274425709603071,0.7828847169876099,1.0,0.9416539,0.44803035259246826,0.6124092200774057,0.9346344819692725,0.734181990484547,0.8559715793483381,0.8072557438028216
scPoli miss 20%,0.9044606391463987,0.7289193328984859,0.7884873151779175,1.0,0.9377179,0.4460756182670593,0.6434802182210538,0.9429287830356742,0.7425506335262716,0.8554668218057006,0.8103003464939289
Palette shuffled 5%,0.8901535082999386,0.8215365886344497,0.7658500969409943,1.0,0.92271775,0.41838014125823975,0.5607829550684108,0.9490662682048407,0.7127367786509926,0.8693850484688457,0.8067257405417045
Palette shuffled 10%,0.8604658492275495,0.6581130520316097,0.748058557510376,1.0,0.91995317,0.4186866283416748,0.5704493672041814,0.9443051548051198,0.7133485794473707,0.8166593646923839,0.7753350505943786
Palette shuffled 20%,0.8813100976323646,0.7949203405892478,0.7502291202545166,1.0,0.9241495,0.41064971685409546,0.5521932691970921,0.9454283415292557,0.708105210206268,0.8566148896190322,0.7972110178539265
ssSTACAS shuffled 5%,0.8663382282591091,0.661508791805862,0.6811765283346176,1.0,0.9003404,0.4073999524116516,0.4186100022297951,0.952342714280578,0.6696732618016198,0.8022558870998971,0.7492228369805862
ssSTACAS shuffled 10%,0.8496197707625107,0.6034283035610062,0.6808178126811981,1.0,0.9004335,0.4068237543106079,0.4127344581832373,0.9529745344414279,0.6682415569187167,0.7834664717511788,0.7373765058181939
ssSTACAS shuffled 20%,0.8661174581574266,0.6601865174189078,0.6798793971538544,1.0,0.90408134,0.4067038893699646,0.422051757695418,0.9556872111878386,0.6721310507144284,0.8015458431825472,0.7497799261952995
SIGNAL shuffled 5%,0.8612232152681016,0.634832600635821,0.6990739703178406,1.0,0.9454777,0.4293479919433594,0.5999598928674149,0.923372728398672,0.7245395843211909,0.7987824465554408,0.7690853016617408
SIGNAL shuffled 10%,0.8593037206075513,0.657221713124228,0.6897247135639191,1.0,0.94625235,0.4213482141494751,0.5714928002528928,0.9195832265661537,0.714669146751835,0.8015625368239245,0.7668051807950886
SIGNAL shuffled 20%,0.8397957917358452,0.5992032980744231,0.6552235782146454,1.0,0.9463803,0.41141992807388306,0.5697416124440619,0.8886208157277364,0.7040406683642081,0.7735556670062285,0.7457496675494203
scPoli shuffled 5%,0.8876009507554502,0.6667295605323037,0.7567207515239716,1.0,0.94550496,0.4418095350265503,0.6189262204043766,0.9410642046407799,0.7368262308674216,0.8277628157029313,0.7913881817687274
scPoli shuffled 10%,0.8881461001298533,0.6962970591585087,0.7195533961057663,1.0,0.946776,0.42350083589553833,0.5613145545771095,0.9446621651608553,0.7190633821191683,0.825999138848532,0.7832248361567865
scPoli shuffled 20%,0.8578570870726032,0.6010847042418159,0.6796385198831558,1.0,0.94106644,0.4093185067176819,0.491684507421823,0.9481022181386297,0.6975429190495676,0.7846450777993937,0.7498042142994632
scANVI shuffled 5%,0.8472228240278271,0.6078689915516157,0.6762494146823883,1.0,0.8943772,0.4121795892715454,0.5021757691875597,0.9833387791094741,0.6980178273904587,0.7828353075654577,0.7489083154954581
scANVI shuffled 10%,0.8484871097315771,0.6098919133359968,0.6714711338281631,1.0,0.89139,0.3957951068878174,0.47104766319069036,0.9863686601176029,0.6861503639529507,0.7824625392239343,0.7439376691155408
scANVI shuffled 20%,0.8342796795103585,0.5655662896736194,0.6687595099210739,1.0,0.8888286,0.3968575596809387,0.4857464348621938,0.98893979630716,0.6900930916153518,0.767151369776263,0.7363280585118985
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
