Embedding,KMeans NMI,KMeans ARI,Silhouette label,cLISI,Silhouette batch,iLISI,KBET,Graph connectivity,Batch correction,Bio conservation,Total
scANVI miss 5%,0.7955608975810219,0.6007225542962796,0.7619357407093048,0.9999999908300546,0.7778153,0.3178377151489258,0.5716896250783585,0.9820339856723349,0.6623441520611093,0.7895547958541652,0.7386705383369429
scANVI miss 10%,0.7763563408937019,0.5181925252848082,0.7496680617332458,0.9999999908300546,0.78660154,0.31360334157943726,0.5858313604756991,0.9713438168291554,0.6643450155777013,0.7610542296854527,0.722370544042352
scANVI miss 20%,0.7843617500121397,0.5421793169626888,0.7491372674703598,0.9999999908300546,0.77603304,0.30464065074920654,0.4754836086035163,0.9630501713246886,0.6298018686347002,0.7689195813188108,0.7132724962451665
scPoli miss 5%,0.7726304817128795,0.48278467594426966,0.694992408156395,0.9999999908300546,0.88895553,0.3818325400352478,0.7158148450566307,0.8917087860683973,0.7195779261661905,0.7376018891608997,0.730392303963016
scPoli miss 10%,0.7824638804919548,0.5269028406229835,0.6901165992021561,0.9999999908300546,0.8941331,0.39127469062805176,0.7068678563304401,0.9185107197556841,0.7276965894217691,0.7498708277867873,0.7410011324407799
scPoli miss 20%,0.7747673817932661,0.5085272288262767,0.7071415036916733,0.9999999908300546,0.89236367,0.3766016960144043,0.7071560029194329,0.9141619058155622,0.7225708180593744,0.7476090262853177,0.7375937429949404
Palette shuffled 5%,0.8271662516967705,0.6838765449344806,0.7485745847225189,0.9999999908300546,0.8157601,0.1937912106513977,0.5037079960514366,0.9401595527036145,0.6133547088631097,0.8149043430459562,0.7342844893728175
Palette shuffled 10%,0.863482742630119,0.7801761020556203,0.7412963211536407,0.9999999908300546,0.81159925,0.17789417505264282,0.4984876744922043,0.9174961950033479,0.6013693247890873,0.8462387891673587,0.7482910034160501
Palette shuffled 20%,0.8296655197896633,0.713122763092416,0.726494163274765,0.9999999908300546,0.8399352,0.16959339380264282,0.48022337862740344,0.9358719260642684,0.60640597050485,0.8173206092467248,0.7329547537499749
ssSTACAS shuffled 5%,0.8068903678396097,0.6808880740132139,0.7156643122434616,0.9999999908300546,0.8275197,0.2319650650024414,0.4737204237391485,0.9145835422605674,0.6119471864586158,0.800860686231585,0.7252952863223974
ssSTACAS shuffled 10%,0.845791313487534,0.8277954059412947,0.7072678506374359,0.9999999908300546,0.82006603,0.22304999828338623,0.4786200656298629,0.9095011867796166,0.6078093213716799,0.8452136402240799,0.7502519126831199
ssSTACAS shuffled 20%,0.8432707588924493,0.8283280143419676,0.7024859637022018,0.9999999908300546,0.8362048,0.22264111042022705,0.47964225144136685,0.9034942485568033,0.6104956093125538,0.8435211819416684,0.7503109528900225
SIGNAL shuffled 5%,0.808590352323141,0.6358054803249904,0.7293919026851654,0.9999999908300546,0.8227829,0.3252561688423157,0.6495570253818566,0.8955230495732094,0.6732797794761856,0.7934469315408379,0.7453800707149769
SIGNAL shuffled 10%,0.7962459856588692,0.6122204490510692,0.7138510644435883,0.9999999908300546,0.82443124,0.31404152512550354,0.6423827903417192,0.9013390697091691,0.670548656433754,0.7805793724958954,0.7365670860710389
SIGNAL shuffled 20%,0.8085488749635628,0.6723471672051237,0.6681571006774902,0.9999999908300546,0.85405034,0.2954798936843872,0.51659894748398,0.8899179259650334,0.6390117763504202,0.7872632834190578,0.7279626805916027
scPoli shuffled 5%,0.7974227134568196,0.5755534372531325,0.6411551833152771,0.9999999908300546,0.8968531,0.3775935769081116,0.7187191894654558,0.9213167109977667,0.7286206416759786,0.753532831213821,0.743567955398684
scPoli shuffled 10%,0.7728312285096934,0.5108675449299525,0.6289288997650146,0.9999999816601093,0.8982544,0.3687555491924286,0.6843727716993242,0.9217740470032327,0.7182891906065589,0.7281569137161925,0.7242098244723392
scPoli shuffled 20%,0.7771135701037175,0.5579066195223812,0.5871914550662041,0.9999999724901639,0.9078782,0.3583645522594452,0.687030281054244,0.9198062907049717,0.7182698360249975,0.7305529042956167,0.725639676987369
scANVI shuffled 5%,0.795934527933402,0.6005282369914444,0.7769646048545837,0.9999999908300546,0.74786174,0.334166020154953,0.471496503831071,0.9273753159170394,0.6202248957190978,0.7933568401523713,0.7241040623790619
scANVI shuffled 10%,0.7994471883794362,0.5955926087955266,0.7835102379322052,0.9999999908300546,0.70682555,0.36112213134765625,0.47926952865816186,0.8893470509280949,0.6091410663261982,0.7946375064843056,0.7204389304210627
scANVI shuffled 20%,0.8111876694368592,0.625267012041826,0.7930259108543396,0.9999999908300546,0.7135458,0.38090455532073975,0.5496189692376,0.8887437136683937,0.6332032593705261,0.8073701457907699,0.7377033912226724
Metric Type,Bio conservation,Bio conservation,Bio conservation,Bio conservation,Batch correction,Batch correction,Batch correction,Batch correction,Aggregate score,Aggregate score,Aggregate score
